SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:16:07 001	05/17/2019 22:16:07	001	1			
05/17/2019 22:16:08 000	05/17/2019 22:16:08	000	1			
05/17/2019 22:16:09 000	05/17/2019 22:16:09	000	1			
05/17/2019 22:16:10 001	05/17/2019 22:16:10	001	1			
05/17/2019 22:16:11 000	05/17/2019 22:16:11	000	1			
05/17/2019 22:16:12 000	05/17/2019 22:16:12	000	1			
05/17/2019 22:16:13 001	05/17/2019 22:16:13	001	1			
05/17/2019 22:16:14 000	05/17/2019 22:16:14	000	1			
05/17/2019 22:16:15 000	05/17/2019 22:16:15	000	1			
05/17/2019 22:16:16 000	05/17/2019 22:16:16	000	1			
05/17/2019 22:16:17 001	05/17/2019 22:16:17	001	1			
05/17/2019 22:16:18 001	05/17/2019 22:16:18	001	1			
05/17/2019 22:16:19 000	05/17/2019 22:16:19	000	1			
05/17/2019 22:16:20 001	05/17/2019 22:16:20	001	1			
05/17/2019 22:16:21 001	05/17/2019 22:16:21	001	1			
05/17/2019 22:16:22 000	05/17/2019 22:16:22	000	1			
05/17/2019 22:16:23 001	05/17/2019 22:16:23	001	1			
05/17/2019 22:16:24 000	05/17/2019 22:16:24	000	1			
05/17/2019 22:16:25 000	05/17/2019 22:16:25	000	1			
05/17/2019 22:16:26 001	05/17/2019 22:16:26	001	1			
05/17/2019 22:16:27 000	05/17/2019 22:16:27	000	1			
05/17/2019 22:16:28 001	05/17/2019 22:16:28	001	1			
05/17/2019 22:16:29 000	05/17/2019 22:16:29	000	1			
05/17/2019 22:16:30 001	05/17/2019 22:16:30	001	1			
05/17/2019 22:16:31 000	05/17/2019 22:16:31	000	1			
05/17/2019 22:16:32 001	05/17/2019 22:16:32	001	1			
05/17/2019 22:16:33 000	05/17/2019 22:16:33	000	1			
05/17/2019 22:16:34 001	05/17/2019 22:16:34	001	1			
05/17/2019 22:16:35 000	05/17/2019 22:16:35	000	1			
05/17/2019 22:16:36 001	05/17/2019 22:16:36	001	1			
05/17/2019 22:16:37 000	05/17/2019 22:16:37	000	1			
05/17/2019 22:16:38 000	05/17/2019 22:16:38	000	1			
05/17/2019 22:16:39 001	05/17/2019 22:16:39	001	1			
05/17/2019 22:16:40 000	05/17/2019 22:16:40	000	1			
05/17/2019 22:16:41 000	05/17/2019 22:16:41	000	1			
05/17/2019 22:16:42 000	05/17/2019 22:16:42	000	1			
05/17/2019 22:16:43 001	05/17/2019 22:16:43	001	1			
05/17/2019 22:16:44 001	05/17/2019 22:16:44	001	1			
05/17/2019 22:16:45 001	05/17/2019 22:16:45	001	1			
05/17/2019 22:16:46 000	05/17/2019 22:16:46	000	1			
05/17/2019 22:16:47 001	05/17/2019 22:16:47	001	1			
05/17/2019 22:16:48 000	05/17/2019 22:16:48	000	1			
05/17/2019 22:16:49 001	05/17/2019 22:16:49	001	1			
05/17/2019 22:16:50 001	05/17/2019 22:16:50	001	1			
05/17/2019 22:16:51 000	05/17/2019 22:16:51	000	1			
05/17/2019 22:16:52 000	05/17/2019 22:16:52	000	1			
05/17/2019 22:16:53 001	05/17/2019 22:16:53	001	1			
05/17/2019 22:16:54 000	05/17/2019 22:16:54	000	1			
05/17/2019 22:16:55 001	05/17/2019 22:16:55	001	1			
